0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,x9IAywXI
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,fE3Zl2Bp
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,wjGnP7xd
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,mJuLapg3
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,u1OfuoQr
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,S7jYYpZz
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,f0z6S5HK
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,CdSfuCZG
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,pTIT6tOn
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,hojnmjIb
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,t4gdgmJr
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,nSIyvAio
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,gyFJ3N3H
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,ShuauxIM
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,PGQfELmu
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,olWGBqy6
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,TmwWtSRV
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,pxumbSxZ
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,2RvPfzrS
19,Феклисов Константин Виталиевич,270,9т,1,Феклисов_КВ,3wqtneJs
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,58pSEm2p
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,UVOd7Nnx
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,ixVbLDuw
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,xG9TPOS7
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,5mDdoqjl
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,8d05JOBV
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,QYG4Gk3X
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,UISoqq6V
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,LblPM8OU
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,C8AgbFNb
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,OZxuSoVF
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,GubeqxPW
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,A1ExUlhv
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,SxXiEt5l
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,QSQVthLm
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,AQBKeYX3
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,yH5xMFHd
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,cP2Jy4av
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,ZM8OE6dV
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,f2fhuzzB
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,geWfiMPL
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,EknNZmba
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,KNZ7AV4Q
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,PQOT57nR
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,IPK6Bn8U
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,RtxyzEA1
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,Z9tf42uH
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,lJPjwfkA
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,4sZ6eFdt
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,PIrdDPor
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,ZQJuktVL
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,2RaB1hGR
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,pRJteWrm
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,lcTSJwdh
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,UhlUhDsI
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,W30iFSxZ
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,RWL7Ke0Q
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,b1wEmGrV
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,VhbSgRNa
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,n3KUp5w4
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,e7Y2zwDp
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,sGZtmP2I
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,MuJQFbXA
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,QPbGc2vw
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,NeMN54yd
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,TNRDBIXZ
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,AG3dPEDM
67,Остюков Артур Романович,329,11и,3,Остюков_АР,k7SOzb8Y
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,h3Z0w8IE
69,Кузовенков Игорь Юрьевич,322,9г,1,Кузовенков_ИЮ,hAWDbMCY
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,9OiHTUMW
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,6Nd7tQuI
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,eFuhK9Ob
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,RM32PLsP
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,yaiWLHBp
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,3jeDqMl2
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,cSeMfzjR
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,G86LVLP5
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,E68SDOcA
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,h872gYfT
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,nbRLMOh7
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,AOZpsYAo
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,iFv6JROL
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,aQuAbqSf
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,d7akycWF
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,9HARhtia
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,oaZ3viWU
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,iTFQW1xK
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,B7vagbDi
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,fxIJvzxF
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,KpREnu9o
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,4p5LDJ8i
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,RVSm1Xd4
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,gPbzDM0c
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,8KVPckue
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,nnCjEQBS
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,MpqwsB6A
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,63wnQzQX
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,8hr8lHWl
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,cIJ2TyYS
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,HL3OJ8D9
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,3ZvadFRJ
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,s2gVolSb
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,TSGRViwF
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,Ct07ft9y
105,Арашкова Екатерина Евгеньевна,356,8х,1,Арашкова_ЕЕ,bEnTn5Ro
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,jgSYA10o
